rank,endpoint,endpoint_image,training_split,training_image,dims,mean_abs,p99_abs,max_abs,frac_gt8,content_std,qtables_identical,endpoint_kb,training_kb,qtables_differ_dqt,qtable_evidence,qtable_methods_agree,format_endpoint,format_training,formats_differ,partner_pool
17,chamnew,animal-17.jpg,tgt,COD10K-CAM-4-Amphibian-68-Toad-4806.jpg,1200x947,1.389,11.0,64,0.02033,59.7,0,211,393,1,differ,1,JPEG,JPEG,0,cod10k_train
18,chamnew,animal-12.jpg,tgt,COD10K-CAM-4-Amphibian-68-Toad-4805.jpg,1024x768,1.461,5.0,14,0.00018,45.6,0,520,384,1,differ,1,JPEG,JPEG,0,cod10k_train
19,chamnew,animal-11.jpg,tgt,COD10K-CAM-3-Flying-65-Owl-4508.jpg,2288x1712,1.461,7.0,64,0.00583,52.3,0,872,1492,1,differ,1,JPEG,JPEG,0,cod10k_train
20,chamnew,animal-24.jpg,tgt,COD10K-CAM-2-Terrestrial-45-Spider-2493.jpg,550x366,1.463,8.0,38,0.00764,56.7,0,64,94,1,differ,1,JPEG,JPEG,0,cod10k_train
21,chamnew,animal-55.jpg,tgt,COD10K-CAM-4-Amphibian-67-Frog-4680.jpg,880x660,1.514,7.0,33,0.00561,51.9,0,213,315,1,differ,1,JPEG,JPEG,0,cod10k_train
22,chamnew,animal-56.jpg,tgt,COD10K-CAM-3-Flying-58-Frogmouth-3594.jpg,1800x1389,1.542,8.0,33,0.00908,48.8,0,595,940,1,differ,1,JPEG,JPEG,0,cod10k_train
23,chamnew,animal-21.jpg,tgt,COD10K-CAM-2-Terrestrial-26-Chameleon-1664.jpg,2560x1920,1.706,8.0,37,0.00987,51.8,0,2378,1940,1,differ,1,JPEG,JPEG,0,cod10k_train
24,chamnew,animal-44.jpg,tgt,COD10K-CAM-3-Flying-64-Moth-4428.jpg,755x319,1.733,6.0,18,0.00085,53.9,0,285,170,1,differ,1,JPEG,JPEG,0,cod10k_train
25,chamnew,animal-26.jpg,tgt,COD10K-CAM-2-Terrestrial-45-Spider-2495.jpg,780x520,1.798,12.0,39,0.02502,63.5,0,160,303,1,differ,1,JPEG,JPEG,0,cod10k_train
26,chamnew,animal-6.jpg,tgt,COD10K-CAM-3-Flying-65-Owl-4512.jpg,880x908,1.923,10.0,59,0.01548,49.3,0,300,447,1,differ,1,JPEG,JPEG,0,cod10k_train
27,chamnew,animal-37.jpg,tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1885.jpg,962x622,2.01,11.0,30,0.02638,60.4,0,202,281,1,differ,1,JPEG,JPEG,0,cod10k_train
28,chamnew,animal-63.jpg,tgt,COD10K-CAM-2-Terrestrial-45-Spider-2496.jpg,595x454,2.011,10.0,42,0.01971,46.6,0,153,164,1,differ,1,JPEG,JPEG,0,cod10k_train
29,chamnew,animal-70.jpg,tgt,COD10K-CAM-2-Terrestrial-45-Spider-2497.jpg,640x480,2.067,10.0,34,0.01697,40.5,0,125,196,1,differ,1,JPEG,JPEG,0,cod10k_train
30,chamnew,animal-48.jpg,tgt,COD10K-CAM-3-Flying-64-Moth-4429.jpg,1300x849,2.079,8.0,25,0.00619,57.3,0,1271,692,1,differ,1,JPEG,JPEG,0,cod10k_train
31,chamnew,animal-67.jpg,tgt,COD10K-CAM-4-Amphibian-67-Frog-4681.jpg,1200x831,2.107,8.0,37,0.00959,65.9,0,672,548,1,differ,1,JPEG,JPEG,0,cod10k_train
32,chamnew,animal-29.jpg,tgt,COD10K-CAM-4-Amphibian-68-Toad-4866.jpg,620x413,2.203,14.0,64,0.04741,67.7,0,76,129,1,differ,1,JPEG,JPEG,0,cod10k_train
33,chamnew,animal-60.jpg,tgt,COD10K-CAM-3-Flying-65-Owl-4513.jpg,880x707,2.225,11.0,52,0.0266,76.5,0,322,467,1,differ,1,JPEG,JPEG,0,cod10k_train
34,chamnew,animal-52.jpg,tgt,COD10K-CAM-3-Flying-59-Grasshopper-3617.jpg,580x773,2.296,8.0,21,0.00877,47.2,0,579,315,1,differ,1,JPEG,JPEG,0,cod10k_train
35,chamnew,animal-1.jpg,tgt,COD10K-CAM-2-Terrestrial-37-Lion-2116.jpg,1024x768,2.306,9.0,27,0.01665,34.8,0,563,412,1,differ,1,JPEG,JPEG,0,cod10k_train
36,chamnew,animal-23.jpg,tgt,COD10K-CAM-2-Terrestrial-26-Chameleon-1665.jpg,1024x768,2.672,18.0,67,0.0526,58.6,0,622,468,1,differ,1,JPEG,JPEG,0,cod10k_train
37,chamnew,animal-40.jpg,tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1886.jpg,500x728,2.755,16.0,70,0.05073,54.8,0,215,265,1,differ,1,JPEG,JPEG,0,cod10k_train
38,chamnew,animal-57.jpg,tgt,camourflage_00836.jpg,880x660,3.062,11.0,25,0.03388,52.6,0,277,243,1,differ,1,JPEG,JPEG,0,camo
39,chamnew,animal-19.jpg,tgt,COD10K-CAM-3-Flying-53-Bird-3014.jpg,497x300,3.75,19.0,70,0.09579,69.1,0,413,132,0,na,1,PNG,JPEG,1,cod10k_train
40,chamnew,animal-8.jpg,tgt,COD10K-CAM-2-Terrestrial-32-Giraffe-1930.jpg,1200x792,4.49,23.0,87,0.15737,62.1,0,671,710,1,differ,1,JPEG,JPEG,0,cod10k_train
41,chamnew,animal-31.jpg,tgt,COD10K-CAM-1-Aquatic-20-Turtle-1208.jpg,640x480,5.512,35.0,98,0.19347,69.2,0,369,247,1,differ,1,JPEG,JPEG,0,cod10k_train
