split_a,name_a,split_b,name_b,dims,mean_abs,p99_abs,max_abs,frac_gt8,content_std
tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1887.jpg,cham,animal-42.jpg,880x587,0.781,5,24,0.00111,53.0
test,COD10K-CAM-2-Terrestrial-45-Spider-2494.jpg,cham,animal-25.jpg,880x587,2.763,14,49,0.04708,56.7
test,COD10K-CAM-2-Terrestrial-45-Spider-2494.jpg,val,camourflage_00890.jpg,880x587,2.763,14,49,0.04708,56.7
tgt,camourflage_00185.jpg,raw,1805.png,401x268,4.771,21,60,0.16052,49.2
tgt,camourflage_00185.jpg,raw,3973.png,401x268,4.771,21,60,0.16052,49.2
tgt,camourflage_00038.jpg,raw,5012.png,315x400,5.261,23,78,0.1898,66.5
tgt,COD10K-CAM-4-Amphibian-67-Frog-4680.jpg,cham,animal-55.jpg,880x660,1.514,7,33,0.00561,51.7
tgt,camourflage_00836.jpg,test,COD10K-CAM-4-Amphibian-68-Toad-4808.jpg,880x660,2.924,10,23,0.02568,52.9
tgt,camourflage_00836.jpg,cham,animal-57.jpg,880x660,3.062,11,25,0.03388,52.9
test,COD10K-CAM-2-Terrestrial-31-Gecko-1888.jpg,cham,animal-58.jpg,880x660,1.951,14,71,0.03453,68.8
test,COD10K-CAM-4-Amphibian-68-Toad-4808.jpg,cham,animal-57.jpg,880x660,1.471,6,19,0.00155,52.7
tgt,COD10K-CAM-4-Amphibian-68-Toad-4866.jpg,cham,animal-29.jpg,620x413,2.203,14,64,0.04741,66.4
tgt,camourflage_00542.jpg,raw,6455.png,337x400,5.835,21,54,0.23889,47.3
tgt,camourflage_00850.jpg,raw,2434.png,401x271,2.047,9,34,0.01058,50.1
test,COD10K-CAM-1-Aquatic-7-Flounder-246.jpg,cham,animal-41.jpg,1024x664,1.522,9,28,0.01032,50.8
tgt,COD10K-CAM-2-Terrestrial-45-Spider-2493.jpg,cham,animal-24.jpg,550x366,1.463,8,38,0.00764,56.7
test,COD10K-CAM-1-Aquatic-7-Flounder-249.jpg,cham,animal-51.jpg,550x366,1.068,7,22,0.00476,48.0
tgt,COD10K-CAM-2-Terrestrial-45-Spider-2495.jpg,cham,animal-26.jpg,780x520,1.798,12,39,0.02502,62.9
tgt,camourflage_00552.jpg,raw,3801.png,400x163,3.105,17,55,0.08665,48.0
test,COD10K-CAM-3-Flying-65-Owl-4511.jpg,cham,animal-53.jpg,880x585,2.034,14,102,0.0292,44.9
test,COD10K-CAM-3-Flying-56-Cicada-3439.jpg,cham,animal-20.jpg,620x400,1.008,5,15,0.00031,52.7
tgt,COD10K-CAM-2-Terrestrial-32-Giraffe-1930.jpg,cham,animal-8.jpg,1200x792,4.49,23,87,0.15737,61.5
test,COD10K-CAM-2-Terrestrial-32-Giraffe-1932.jpg,cham,animal-8.jpg,1200x792,4.49,23,87,0.15737,61.5
tgt,COD10K-CAM-2-Terrestrial-47-Tiger-2875.jpg,cham,animal-65.jpg,1600x1120,1.257,7,21,0.00275,45.2
tgt,COD10K-CAM-2-Terrestrial-47-Tiger-2880.jpg,cham,animal-65.jpg,1600x1120,1.257,7,21,0.00275,45.2
tgt,COD10K-CAM-3-Flying-55-Butterfly-3291.jpg,cham,animal-71.jpg,1024x793,0.85,6,18,0.00194,54.8
tgt,COD10K-CAM-3-Flying-59-Grasshopper-3617.jpg,cham,animal-52.jpg,580x773,2.296,8,21,0.00877,47.3
tgt,COD10K-CAM-3-Flying-61-Katydid-3937.jpg,cham,animal-4.jpg,1200x945,1.052,7,45,0.00559,57.5
test,COD10K-CAM-3-Flying-59-Grasshopper-3615.jpg,cham,animal-46.jpg,1024x466,1.8,10,32,0.01726,50.4
tgt,COD10K-CAM-3-Flying-65-Owl-4513.jpg,cham,animal-60.jpg,880x707,2.225,11,52,0.0266,76.0
tgt,COD10K-CAM-3-Flying-65-Owl-4513.jpg,val,camourflage_00998.jpg,880x707,2.225,11,52,0.0266,76.0
tgt,COD10K-CAM-4-Amphibian-68-Toad-4806.jpg,cham,animal-17.jpg,1200x947,1.389,11,64,0.02033,59.2
tgt,COD10K-CAM-4-Amphibian-68-Toad-4806.jpg,val,camourflage_00090.jpg,1200x947,1.389,11,64,0.02033,59.2
test,COD10K-CAM-2-Terrestrial-40-Rabbit-2339.jpg,cham,animal-49.jpg,580x387,2.595,10,40,0.02068,46.8
test,COD10K-CAM-4-Amphibian-67-Frog-4679.jpg,cham,animal-28.jpg,610x401,1.693,8,34,0.00706,45.7
test,COD10K-CAM-4-Amphibian-67-Frog-4679.jpg,val,camourflage_00235.jpg,610x401,1.759,8,34,0.00748,45.7
cham,animal-28.jpg,val,camourflage_00235.jpg,610x401,0.607,2,6,0.0,45.8
tgt,COD10K-CAM-1-Aquatic-3-Crab-19.jpg,cham,animal-39.jpg,940x590,1.19,6,23,0.00142,38.8
tgt,COD10K-CAM-2-Terrestrial-26-Chameleon-1664.jpg,cham,animal-21.jpg,2560x1920,1.706,8,37,0.00987,51.6
tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1879.jpg,cham,animal-13.jpg,2304x3456,1.165,5,22,0.00023,55.3
tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1883.jpg,cham,animal-33.jpg,426x650,0.952,4,13,0.00022,37.9
tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1884.jpg,cham,animal-35.jpg,470x688,0.905,7,28,0.006,57.0
tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1885.jpg,cham,animal-37.jpg,962x622,2.01,11,30,0.02638,60.2
tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1886.jpg,cham,animal-40.jpg,500x728,2.755,16,70,0.05073,54.2
tgt,COD10K-CAM-2-Terrestrial-31-Gecko-1891.jpg,cham,animal-9.jpg,1200x943,1.266,7,28,0.00464,60.1
tgt,COD10K-CAM-2-Terrestrial-45-Spider-2496.jpg,cham,animal-63.jpg,595x454,2.011,10,42,0.01971,46.3
tgt,COD10K-CAM-2-Terrestrial-46-StickInsect-2822.jpg,tgt,camourflage_00940.jpg,736x527,0.421,4,18,0.00032,42.5
tgt,COD10K-CAM-2-Terrestrial-46-StickInsect-2824.jpg,tgt,camourflage_00718.jpg,500x378,2.361,19,72,0.05486,46.7
tgt,COD10K-CAM-2-Terrestrial-48-Wolf-2913.jpg,cham,animal-15.jpg,2048x1225,0.989,8,39,0.00812,48.3
tgt,COD10K-CAM-3-Flying-53-Bird-3014.jpg,cham,animal-19.jpg,497x300,3.75,19,70,0.09579,68.3
tgt,COD10K-CAM-3-Flying-58-Frogmouth-3594.jpg,cham,animal-56.jpg,1800x1389,1.542,8,33,0.00908,48.7
tgt,COD10K-CAM-3-Flying-59-Grasshopper-3614.jpg,cham,animal-45.jpg,605x349,0.844,7,27,0.00438,40.0
tgt,COD10K-CAM-3-Flying-61-Katydid-3936.jpg,cham,animal-34.jpg,700x436,0.653,6,33,0.00451,58.8
tgt,COD10K-CAM-3-Flying-64-Moth-4428.jpg,cham,animal-44.jpg,755x319,1.733,6,18,0.00085,54.0
tgt,COD10K-CAM-3-Flying-64-Moth-4429.jpg,cham,animal-48.jpg,1300x849,2.079,8,25,0.00619,57.1
tgt,COD10K-CAM-3-Flying-65-Owl-4508.jpg,cham,animal-11.jpg,2288x1712,1.461,7,64,0.00583,52.2
tgt,COD10K-CAM-3-Flying-65-Owl-4509.jpg,cham,animal-14.jpg,1440x900,0.692,4,17,8e-05,58.6
tgt,COD10K-CAM-3-Flying-65-Owl-4512.jpg,cham,animal-6.jpg,880x908,1.923,10,59,0.01548,49.2
tgt,COD10K-CAM-3-Flying-65-Owl-4516.jpg,cham,animal-76.jpg,829x466,0.603,4,13,3e-05,34.5
tgt,COD10K-CAM-4-Amphibian-67-Frog-4681.jpg,cham,animal-67.jpg,1200x831,2.107,8,37,0.00959,65.6
tgt,COD10K-CAM-4-Amphibian-68-Toad-4807.jpg,cham,animal-30.jpg,600x330,0.835,6,25,0.0032,45.8
tgt,camourflage_00948.jpg,nc4k,1244.jpg,800x746,4.808,23,98,0.1777,63.8
test,COD10K-CAM-1-Aquatic-7-Flounder-245.jpg,cham,animal-36.jpg,962x621,2.026,12,38,0.03165,29.1
test,COD10K-CAM-1-Aquatic-7-Flounder-247.jpg,cham,animal-43.jpg,755x352,1.946,7,19,0.00149,41.5
test,COD10K-CAM-1-Aquatic-7-Flounder-248.jpg,cham,animal-47.jpg,755x487,2.251,9,29,0.01556,56.2
test,COD10K-CAM-1-Aquatic-7-Flounder-250.jpg,cham,animal-69.jpg,847x565,0.697,4,23,0.00083,24.9
test,COD10K-CAM-2-Terrestrial-26-Chameleon-1681.jpg,test,COD10K-CAM-2-Terrestrial-26-Chameleon-1692.jpg,879x494,0.022,1,4,0.0,42.9
test,COD10K-CAM-2-Terrestrial-29-Dog-1804.jpg,cham,animal-7.jpg,880x968,0.34,3,18,0.00019,50.0
test,COD10K-CAM-2-Terrestrial-31-Gecko-1880.jpg,cham,animal-16.jpg,815x1188,1.848,8,24,0.00545,33.6
test,COD10K-CAM-2-Terrestrial-31-Gecko-1889.jpg,cham,animal-62.jpg,1000x628,0.699,5,21,0.00064,53.7
test,COD10K-CAM-2-Terrestrial-31-Gecko-1890.jpg,cham,animal-66.jpg,610x409,1.183,7,30,0.00397,55.1
test,COD10K-CAM-2-Terrestrial-37-Lion-2105.jpg,cham,animal-27.jpg,505x360,1.085,5,12,8e-05,56.4
test,COD10K-CAM-2-Terrestrial-42-Sciuridae-2380.jpg,cham,animal-10.jpg,1200x811,1.532,8,29,0.0072,61.1
test,COD10K-CAM-2-Terrestrial-45-Spider-2498.jpg,cham,animal-72.jpg,2000x977,0.38,3,13,1e-05,57.4
test,COD10K-CAM-2-Terrestrial-48-Wolf-2914.jpg,cham,animal-3.jpg,1200x818,3.336,20,72,0.09285,72.2
test,COD10K-CAM-3-Flying-50-Bat-2959.jpg,val,camourflage_00563.jpg,611x916,4.242,17,37,0.14092,50.9
test,COD10K-CAM-3-Flying-53-Bird-3015.jpg,cham,animal-2.jpg,2272x1704,1.595,7,42,0.00268,53.5
test,COD10K-CAM-3-Flying-59-Grasshopper-3618.jpg,cham,animal-64.jpg,861x633,1.396,7,22,0.00418,54.7
test,COD10K-CAM-3-Flying-59-Grasshopper-3619.jpg,cham,animal-68.jpg,1272x1236,0.583,4,17,0.00015,41.4
test,COD10K-CAM-3-Flying-65-Owl-4510.jpg,cham,animal-18.jpg,1536x1136,1.363,8,57,0.00864,44.2
test,COD10K-CAM-3-Flying-65-Owl-4514.jpg,cham,animal-61.jpg,605x362,1.177,5,54,0.00198,54.7
test,COD10K-CAM-3-Flying-65-Owl-4515.jpg,cham,animal-75.jpg,549x575,0.464,3,14,6e-05,49.9
test,COD10K-CAM-5-Other-69-Other-5023.jpg,cham,animal-59.jpg,915x686,2.034,10,42,0.01628,70.7
nc4k,1614.jpg,val,camourflage_01053.jpg,800x594,0.549,3,8,0.0,49.9
